Student_ID,Theory_Marks,Lab_Marks,Attendance
197,69,66,77
234,30,34,16
156,56,79,64
138,85,88,90
171,79,58,83
144,96,88,97
145,99,90,95
182,76,73,65
114,95,93,98
243,44,31,24
232,43,40,33
177,60,61,70
181,56,71,68
125,96,99,97
236,27,24,29
242,35,36,32
193,77,51,68
111,87,91,97
179,53,64,75
118,92,94,98
121,90,89,97
165,68,58,63
107,97,87,97
237,23,35,10
168,69,55,83
136,96,86,97
221,28,41,11
141,99,90,97
187,59,66,78
142,94,90,94
240,39,22,23
211,39,39,34
219,42,31,11
174,56,50,61
188,62,75,62
238,25,38,17
131,85,99,96
146,98,97,92
224,35,33,49
185,77,66,79
172,54,79,64
227,39,32,48
159,64,74,78
166,56,52,82
103,97,88,93
239,27,23,25
137,93,92,91
143,96,94,92
244,22,33,37
175,62,68,65
135,97,88,98
150,87,96,92
207,26,20,32
195,61,66,67
120,87,94,90
127,90,91,92
132,96,87,99
128,86,96,90
245,44,40,43
102,88,91,99
223,38,41,26
202,44,35,40
124,92,96,90
184,71,69,62
104,99,93,97
229,41,41,35
205,29,20,30
217,24,20,31
173,72,54,79
226,22,25,18
235,36,20,45
180,62,76,60
110,94,93,94
233,39,20,22
133,94,98,98
139,95,86,96
212,36,43,40
200,60,76,70
191,70,79,66
183,68,58,75
210,44,35,27
230,43,27,44
231,20,21,34
178,78,73,75
129,96,97,94
157,76,50,60
246,37,25,11
151,50,75,76
198,79,73,67
126,98,96,92
176,64,59,81
167,66,56,70
122,89,86,97
169,78,57,76
218,24,35,32
164,62,62,82
161,75,79,80
249,21,24,31
204,42,23,42
189,79,69,78
148,99,86,92
196,61,54,66
134,90,85,96
222,22,42,35
215,35,22,33
101,91,96,91
112,91,86,99
109,91,89,91
123,86,88,92
162,59,74,71
213,21,27,12
241,22,36,21
190,74,61,79
228,43,38,38
247,33,22,41
192,55,56,79
220,28,38,36
250,41,43,34
117,88,86,96
119,92,93,97
130,89,92,99
206,22,23,41
214,20,26,49
113,95,88,98
116,89,98,98
152,54,72,61
140,95,98,96
155,63,56,82
199,79,66,60
147,98,99,90
194,77,52,60
216,31,36,41
209,35,40,12
106,92,89,98
203,37,28,44
105,95,87,96
208,35,33,42
160,64,76,61
153,75,77,61
108,89,91,94
201,44,22,38
154,72,74,81
115,92,96,90
170,53,76,65
149,98,94,94
186,51,79,63
248,37,28,32
158,58,50,60
225,35,25,42
163,77,69,65
